cod_linha,parecer,nome_linha,intervalo_entre_partidas_min_9
004,Eliminada,Messejana / Papicu / Cambeba / Tribunal de Justiça,
011,Mantida,Circular I,50.5
012,Mantida,Circular II,60
013,Mantida,Aguanambi I,5.3
014,Mantida,Aguanambi II,3.9
015,Mantida,Conj. Ceará / Antônio Bezerra I,60
016,Eliminada,Cuca Barra / Papicu,
017,Eliminada,Inter Shoppings,
019,Seccionada,Messejana / Papicu / Manibura,19.1
020,Mantida,Campus do Pici,22.9
021,Seccionada,Luciano Cavalcante / Papicu,60
022,Eliminada,Jardim das Oliveiras / Centro,
024,Mantida,Antônio Bezerra / Lagoa / Unifor,3.5
025,Seccionada,Opaia / Lagoa,19.3
026,Mantida,Antônio Bezerra / Messejana,4.6
027,Eliminada,Siqueira / Papicu / Aeroporto,3.6
028,Mantida,Antônio Bezerra / Papicu,10.5
029,Eliminada,Parangaba / Náutico,11.9
030,Seccionada,Siqueira / Papicu /13 de Maio,31.9
031,Mantida,Av. Borges de Melo I – Circular,3.5
032,Mantida,Av. Borges de Melo II – Circular,4.5
038,Seccionada,Parangaba / Papicu,60
040,Mantida,Parangaba / Lagoa,14.3
041,Eliminada,Parangaba / Oliveira Paiva / Papicu,8
042,Mantida,Antônio Bezerra / Francisco Sá / Papicu,5.1
043,Mantida,Conj. Ceará / Lagoa / Fernandes Távora,3.2
044,Mantida,Parangaba / Papicu / Montese,3.5
045,Mantida,Conj. Ceará / Papicu / Montese,9
050,Eliminada,Siqueira / Papicu / Washington Soares,
051,Mantida,Grande Circular I,5.2
052,Mantida,Grande Circular II,3.5
053,Eliminada,Messejana/Papicu/Washington Soares,
060,Mantida,Parquelândia / Parangaba,
061,Mantida,Linha Central / Via Centro Fashion,
066,Mantida,Parangaba / Papicu / Aeroporto,9.3
067,Eliminada,Lagoa/Albert Sabin,60
068,Eliminada,Messejana/Papicu/Cambeba/Lago Jacaraí,
069,Eliminada,Lagoa/Papicu/Via Expressa,
070,Seccionada,Cuca Barra/Parangaba,60
071,Mantida,Antônio Bezerra / Mucuripe,4.4
072,Eliminada,Antônio Bezerra/Parangaba,
073,Mantida,Siqueira / Praia de Iracema,12.3
074,Mantida,Antônio Bezerra / Unifor,35.8
075,Mantida,Campus do Pici / Unifor,60
076,Seccionada,Conj. Ceará / Aldeota,4
077,Seccionada,Parangaba / Mucuripe,3.9
078,Eliminada,Siqueira / Mucuripe,
079,Eliminada,Antônio Bezerra / Náutico,
080,Eliminada,Francisco Sá / Parangaba,28.5
081,Mantida,Conj. Ceará / Antônio Bezerra II,60
082,Eliminada,Antônio Bezerra / Messejana / Perimetral,
083,Mantida,Conj. Ceará / Lagoa / Augusto dos Anjos,4
084,Eliminada,Siqueira / Messejana / Perimetral,
085,Mantida,Lagoa / Aldeota,24.3
086,Eliminada,Bezerra de Menezes / Santos Dumont,
087,Eliminada,Expresso / Siqueira / Papicu,
088,Mantida,Antônio Bezerra / Albert Sabin,7.7
089,Eliminada,Expresso / Parangaba / Papicu,
091,Eliminada,Expresso / Antônio Bezerra / Parangaba,
092,Eliminada,Antônio Bezerra / Papicu / Praia de Iracema,
093,Eliminada,Expresso / Messejana / Papicu,
094,Eliminada,Expresso / Parangaba / Aldeota,
096,Seccionada,Conj. Ceará / Barão de Studart,
097,Eliminada,Antônio Bezerra / Siqueira,
098,Eliminada,Expresso / Antônio Bezerra / Papicu,
099,Mantida,Siqueira / Mucuripe / Br. de Studart,7
101,Eliminada,Beira Rio,
102,Mantida,Vila Sto. Antonio / N. Sra. Graças,19.1
106,Seccionada,Floresta / Centro,60
108,Mantida,Santa Maria / Bairro Ellery,8.5
110,Mantida,Vila do Mar / Centro,4
111,Seccionada,Jardim Iracema,60
112,Seccionada,Álvaro Weyne / Centro,60
114,Seccionada,Conj. Nova Assunção / Francisco Sá,60
115,Seccionada,Jardim Guanabara / Centro,21.9
120,Seccionada,Vila do Mar / Náutico / Antônio Bezerra I,11.7
122,Mantida,Antônio Bezerra / Álvaro Weyne,29.2
127,Eliminada,Siqueira / Papicu / Aeroporto II,
129,Eliminada,Parangaba / Náutico II,
130,Eliminada,Vila do Mar / Náutico / Antônio Bezerra II,
138,Eliminada,Parangaba / Papicu,
140,Eliminada,Vila do Mar / Centro II,
141,Eliminada,Parangaba / Oliveira Paiva / Papicu II,
145,Eliminada,Conj. Ceará / Papicu / Montese II,
150,Eliminada,Siqueira / Papicu / Washington Soares II,
177,Eliminada,Parangaba / Mucuripe II,
182,Eliminada,Antônio Bezerra / Messejana / Perimetral II,
186,Eliminada,Bezerra de Menezes / Santos Dumont II,
200,Mantida,Antônio Bezerra / Centro,53.5
205,Mantida,Dom Lustosa,60
206,Mantida,Padre Andrade / Antônio Bezerra,60
210,Mantida,Quintino Cunha / Antônio Bezerra,46.2
211,Mantida,Vila Velha / Antônio Bezerra,4.5
212,Mantida,Jardim Guanabara / Nova Assunção I,60
213,Mantida,Jardim Guanabara / Nova Assunção II,9.1
214,Mantida,Estação / Pio Saraiva I,60
215,Eliminada,Autran Nunes,60
216,Mantida,Antônio Bezerra,60
217,Mantida,Estação / Pio Saraiva II,13.8
220,Eliminada,Av. Sargento Herminio,
221,Mantida,Vila Velha / Riomar Kennedy,60
222,Mantida,Antônio Bezerra / Papicu / Antônio Sales,49.6
225,Mantida,João Arruda,60
226,Eliminada,Expresso / Antônio Bezerra / Messejana,
244,Eliminada,Antonio Bezerra / Parangaba / Montese,
286,Eliminada,Expresso / Antônio Bezerra / Santos Dumont,
300,Eliminada,Siqueira / Centro / Expresso,
302,Seccionada,Rodolfo Teofílo / José Bastos,60
303,Seccionada,Igreja São Raimundo,60
304,Eliminada,Bela Vista / Lagoa,38.8
305,Seccionada,Bela Vista / Humberto Monte,16.5
307,Seccionada,Itaoca / Jardim América,7.8
308,Seccionada,Democrito Rocha,60
309,Mantida,Conj. Sumaré / Parangaba,60
310,Seccionada,Campus Universitários / Pan Americano,60
311,Mantida,Castelão / Parangaba,48.2
312,Mantida,Dias Macedo / Parangaba,60
313,Mantida,Parangaba / Alto da Paz,20.2
314,Eliminada,Henrique Jorge,
315,Mantida,Messejana / Parangaba,8.5
316,Seccionada,Genibaú / Centro,60
317,Mantida,Cidade Nova / Parangaba,3.7
318,Mantida,Av. Lineu Machado / SP1 (STPC),8.5
319,Eliminada,Parque São Jose / Osório Paiva,
320,Seccionada,João XXIII / Centro,11.4
321,Mantida,Jardim União / Parangaba,16.2
322,Mantida,Granja Portugal / Lagoa,60
323,Eliminada,João XXIII / Lagoa (STPC),
324,Mantida,Conj. Ceará / 1ª Etapa (STPC),29.5
325,Mantida,Aracapé / Siqueira,60
327,Mantida,Conj. Ceará / 4ª Etapa,5.4
329,Seccionada,Parque Santa Rosa / Siqueira,35.5
330,Eliminada,Conj. Esperança / Siqueira,
331,Eliminada,Conj. Esperança / Centro,
332,Eliminada,Siqueira / Lagoa,12.8
333,Eliminada,Bom Jardim / Centro,
334,Seccionada,Monte Rei / Siqueira,60
335,Mantida,Bom Jardim I,27.2
336,Mantida,Parque Santa Cecilia I,18.9
337,Mantida,Jardim Jatobá / Siqueira I,25.7
338,Mantida,Canindezinho,16.9
339,Mantida,Conj. Veneza Tropical / Mirasol I,3.8
340,Seccionada,Conj. Itapery,60
341,Seccionada,Conj. Ceará / Centro / 3ª Etapa,
342,Mantida,Parque São Vicente,23.1
